Email-ID,Name,Height,Weight,Age,Gender,City,Locality,Languages,college,Profession,Have you gone Trekking,Preferred Days,Number of Treks,Difficulty of Trek
antoniogude@heydrich.org,Cynthia Säuberlich,171,87,18,F,Nagpur,Sky-One,"['Gujarati', 'Urdu', 'Hindi']",PCCOE,Occupationaltherapists,N,"['Thursday', 'Tuesday', 'Saturday']",0,Beginner
constantin43@aol.de,Freddy Pechel,176,62,40,None,Nagpur,Krishna Kamal,['Gujarati'],MIT-ADT,pharmacist,Y,"['Saturday', 'Thursday']",3,Intermediate
frankeklaus-guenter@textor.com,Karl-Werner Hering B.Sc.,182,69,41,F,Nagpur,Evergreen Society,"['English', 'Bengali']",PICT,farmer,N,"['Saturday', 'Sunday', 'Wednesday']",0,Beginner
killertraude@paertzelt.com,Heiner Lachmann B.Eng.,193,68,53,None,Nashik,Midori Towers,"['Gujarati', 'English']",SPPU,Paramedics,Y,"['Sunday', 'Monday', 'Friday']",2,Experienced
hethursalih@thies.de,Ernst-Dieter Rose MBA.,181,86,31,None,Nagpur,Krishna Park,"['Urdu', 'Bengali']",VIT,therapist,Y,"['Tuesday', 'Friday', 'Wednesday', 'Thursday', 'Monday', 'Saturday']",3,Experienced
rberger@yahoo.de,Xenia auch Schlauchin,163,65,24,F,Kolhapur,Evergreen Society,['Gujarati'],SPPU,translator,Y,"['Wednesday', 'Friday', 'Tuesday', 'Monday', 'Sunday', 'Thursday', 'Saturday']",3,Beginner
staudeeberhard@hornich.de,Gudula Nette,178,73,32,M,Pune,24K-KPS,['English'],PCCOE,Librarians,N,['Thursday'],0,Beginner
wgertz@gmail.com,Woldemar Mülichen,161,81,36,M,Nagpur,Midori Towers,"['Bengali', 'Hindi']",MIT-WPU,Dentalhygienists,N,"['Saturday', 'Monday', 'Thursday']",0,Intermediate
nohlmansannamaria@pruschke.net,Dietlinde Keudel B.A.,169,59,37,F,Nagpur,Krishna Park,"['English', 'Hindi']",MIT-ADT,chef,N,"['Sunday', 'Friday', 'Tuesday', 'Thursday', 'Monday']",0,Beginner
corinnaernst@haenel.de,Dipl.-Ing. Sergei Christoph,176,85,39,M,Kolhapur,24K-KPS,"['Hindi', 'Bengali']",SPPU,Midwives,N,"['Saturday', 'Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']",0,Intermediate
