Email-ID,Name,Height,Weight,Age,Gender,City,Locality,Languages,college,Profession,Have you gone Trekking,Preferred Days,Number of Treks,Difficulty of Trek
ullmannmax@schleich.de,Karlheinz Hoffmann,[142],[73],35,Male,Kolhapur,D Ward,['Marathi' 'Other' 'English'],MIT-WPU,Working,Y,['Sunday' 'Saturday' 'Monday' 'Friday' 'Wednesday' 'Tuesday'],3,Beginner
etzoldgiorgio@steinberg.de,Hella Biggen,[151],[65],32,Male,Nagpur,Kamptee,['Hindi'],PCCOE,Working,N,['Friday' 'Sunday' 'Thursday'],0,Experienced
benjamin50@ditschlerin.net,Pero Weitzel,[151],[73],34,Male,Mumbai,Andheri,['Marathi' 'Hindi'],MIT-WPU,Student,N,['Friday' 'Sunday' 'Saturday' 'Wednesday'],0,Intermediate
hans-guenter35@gmail.com,Ahmed Krein,[157],[81],25,Male,Mumbai,Andheri,['Hindi' 'English'],MIT-WPU,Student,N,['Friday' 'Monday'],0,Intermediate
ivoboerner@hotmail.de,Wladimir Hofmann,[166],[76],30,Male,Mumbai,Borivali,['Marathi'],MIT-ADT,Working,N,['Friday' 'Saturday' 'Sunday'],0,Beginner
valentine76@lindner.com,Ehrentraud Loos,[153],[86],18,Female,Pune,Kothrud,['English' 'Hindi' 'Marathi'],MIT-WPU,Student,N,['Sunday'],0,Beginner
mitschkearne@dowerg.de,Felicitas Striebitz,[161],[78],37,Male,Mumbai,Kandivali,['Marathi' 'English' 'Hindi'],MIT-ADT,Student,Y,['Sunday' 'Monday' 'Friday' 'Saturday' 'Thursday' 'Wednesday'],1,Intermediate
evamariaschmiedecke@web.de,Karl-Ernst Pärtzelt-Mohaupt,[185],[62],26,Male,Nagpur,Reshim Bagh,['Marathi'],VIT,Student,Y,['Saturday' 'Sunday' 'Tuesday'],3,Experienced
henriette04@heydrich.com,Edelbert Rosemann,[172],[70],24,Male,Pune,Nal Stop,['Hindi' 'Marathi' 'English'],SPPU,Student,N,['Saturday' 'Sunday' 'Friday'],0,Intermediate
plathanette@hande.org,Theda Hettner,[170],[69],45,Male,Pune,Pimpri,['Hindi' 'Other' 'Marathi'],SPPU,Working,Y,['Sunday' 'Saturday'],4,Intermediate
dorinakaester@schoenland.com,Gerard Ehlert,[155],[67],22,Male,Pune,Nal Stop,['Hindi' 'Marathi'],SPPU,Unemployed,N,['Friday' 'Sunday'],0,Intermediate
elviraspiess@bolander.de,Regine Bähr,[144],[81],24,Female,Pune,Aundh,['Hindi'],SPPU,Student,Y,['Sunday' 'Tuesday' 'Thursday' 'Friday' 'Monday'],3,Intermediate
almut27@doehn.net,Nevenka Lindner,[175],[84],26,Female,Pune,Nal Stop,['Hindi' 'Marathi'],PICT,Student,Y,['Monday' 'Saturday'],3,Beginner
lieschen16@wieloch.net,Carolin Thanel,[157],[63],22,Female,Pune,Kothrud,['Marathi' 'Hindi'],VIT,Student,Y,['Friday' 'Monday' 'Saturday' 'Sunday'],3,Intermediate
donald84@ernst.com,Torben Hoffmann,[159],[67],44,Female,Mumbai,Borivali,['Marathi' 'English'],MIT-ADT,Student,Y,['Wednesday' 'Monday' 'Sunday'],3,Beginner
chess@schottin.de,Kathi Niemeier,[144],[75],31,Female,Mumbai,Ghatkopar,['Other' 'Marathi'],PICT,Unemployed,Y,['Friday'],1,Experienced
edelbert10@dehmel.com,Songül Heinz,[159],[74],38,Male,Kolhapur,Kasaba Bawada,['Hindi' 'Other'],PICT,Student,Y,['Saturday'],3,Beginner
wkambs@ditschlerin.de,Rena Möchlichen,[169],[57],37,Male,Kolhapur,Gadhinglaj,['Hindi' 'Other' 'Marathi'],MIT-WPU,Working,Y,['Sunday'],3,Beginner
khahn@yahoo.de,Dipl.-Ing. Dieter Vogt MBA.,[146],[79],32,Male,Pune,Pimpri,['Other' 'Hindi' 'Marathi'],SPPU,Student,Y,['Sunday' 'Saturday' 'Friday' 'Monday'],2,Intermediate
kreuselisa@gmx.de,Stephanie Noack B.A.,[156],[63],31,Male,Pune,Nal Stop,['Hindi'],MIT-WPU,Student,N,['Friday' 'Monday' 'Saturday' 'Sunday'],0,Beginner
rohtdoerte@googlemail.com,Anna-Lena Heser,[145],[73],42,Female,Pune,Aundh,['Hindi' 'Marathi'],VIT,Student,N,['Sunday' 'Saturday' 'Monday' 'Friday' 'Wednesday'],0,Intermediate
adavids@stahr.de,Ernestine Blümel-Rust,[153],[78],30,Female,Mumbai,Bandra,['Marathi'],MIT-WPU,Student,Y,['Sunday' 'Saturday' 'Monday' 'Wednesday' 'Friday'],3,Experienced
barkholzibrahim@gmx.de,Sarina Jessel,[166],[60],36,Male,Mumbai,Bandra,['Marathi' 'Hindi' 'Other'],PICT,Unemployed,Y,['Friday' 'Monday' 'Sunday'],3,Intermediate
gundi66@googlemail.com,Aysel Jähn,[147],[57],29,Male,Kolhapur,Kagal,['Marathi' 'Hindi'],PICT,Student,Y,['Sunday' 'Friday' 'Saturday' 'Thursday' 'Monday' 'Wednesday'],3,Experienced
rhecker@holt.com,Mesut Conradi,[154],[86],29,Male,Nagpur,Kalameshwar,['Hindi' 'Marathi' 'English'],MIT-ADT,Student,Y,['Monday' 'Saturday'],1,Experienced
roskothhans-heinrich@gmail.com,Univ.Prof. Ignatz Meister MBA.,[155],[66],29,Female,Nagpur,Kalameshwar,['Hindi' 'Marathi' 'English'],PCCOE,Student,N,['Saturday' 'Friday' 'Sunday' 'Wednesday' 'Tuesday'],0,Intermediate
