Email-ID,Name,Height,Weight,Age,Gender,City,Locality,Languages,college,Profession,Have you gone Trekking,Preferred Days,Number of Treks,Difficulty of Trek
hamannjochen@ullrich.de,Larissa Holt-Pruschke,178,58,30,None,Nagpur,Reshim Bagh,['Gujarati'],VIT,Student,N,"['Saturday', 'Monday', 'Sunday']",0,Intermediate
fredy76@web.de,Herr Giorgio Gertz,192,67,27,F,Kolhapur,Tarabai Park,"['Urdu', 'Hindi']",VIT,Engineer,Y,"['Wednesday', 'Sunday', 'Monday', 'Saturday', 'Friday']",1,Experienced
mariola89@web.de,Eugen Mälzer,197,52,34,M,Pune,Shivaji Nagar,"['Marathi', 'Urdu', 'English']",MIT-WPU,Company Exectuive,N,['Sunday'],0,Experienced
heribert83@aol.de,Adriane Margraf-Beer,180,53,28,M,Kolhapur,Kasaba Bawada,"['Bengali', 'Gujarati']",SPPU,Entrepreneur,N,"['Friday', 'Sunday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday', 'Saturday']",0,Intermediate
schuelerirmtraut@gmx.de,Eberhard Kuhl,195,106,21,F,Nagpur,Bank Colony,"['Marathi', 'Bengali']",MIT-ADT,Other,Y,"['Friday', 'Thursday', 'Monday', 'Saturday', 'Sunday']",4,Experienced
gklingelhoefer@lindau.de,Eberhard Patberg,178,107,31,F,Kolhapur,Kagal,"['Urdu', 'Marathi']",MIT-ADT,Doctor,N,"['Saturday', 'Monday', 'Sunday', 'Thursday']",0,Intermediate
ernst-otto93@hotmail.de,Fanny Henk B.Eng.,164,62,20,F,Pune,Aundh,['Marathi'],SPPU,Company Exectuive,Y,"['Wednesday', 'Thursday', 'Monday', 'Saturday', 'Friday']",4,Beginner
guelsentrapp@groettner.net,Dörte Stroh,184,53,22,M,Kolhapur,Tarabai Park,"['Gujarati', 'Hindi', 'Bengali']",MIT-ADT,Farmer,N,"['Thursday', 'Monday', 'Sunday', 'Saturday']",0,Experienced
haenelmartine@hotmail.de,Prof. Pasquale Putz,190,89,22,None,Nashik,Ambad,"['English', 'Bengali', 'Urdu']",PICT,Entrepreneur,Y,"['Sunday', 'Friday', 'Wednesday', 'Saturday', 'Monday']",1,Intermediate
karl-augustseifert@web.de,Hans-Dieter Säuberlich MBA.,162,75,40,F,Kolhapur,Tarabai Park,"['Hindi', 'Urdu']",MIT-ADT,Lawyer,N,"['Wednesday', 'Monday']",0,Experienced
zsuessebier@linke.org,Lisbeth Trommler B.A.,193,104,35,F,Kolhapur,Kasaba Bawada,"['Urdu', 'Hindi', 'Gujarati']",PCCOE,Doctor,N,"['Tuesday', 'Friday', 'Wednesday', 'Sunday']",0,Beginner
hgumprich@baehr.org,Cengiz Jacobi Jäckel,189,105,27,None,Nashik,Sadar,"['Marathi', 'English']",VIT,Company Exectuive,Y,"['Monday', 'Thursday']",3,Experienced
vtroest@holt.de,Annerose Scholz,178,101,33,F,Kolhapur,Tarabai Park,['Gujarati'],VIT,Student,N,"['Friday', 'Sunday', 'Monday', 'Wednesday', 'Saturday', 'Thursday']",0,Intermediate
froehlichtorsten@gmail.com,Cynthia Carsten,187,52,35,None,Nashik,Panchavati,['Gujarati'],SPPU,Company Exectuive,Y,"['Wednesday', 'Tuesday']",2,Experienced
klinke@gmx.de,Ing. Katrin Krebs,199,88,35,M,Mumbai,Borivali,"['Bengali', 'Gujarati', 'Hindi']",PCCOE,Entrepreneur,Y,['Tuesday'],1,Beginner
hoefigrosalie@lorch.de,Luzia Schenk,189,67,43,None,Mumbai,Andheri,"['English', 'Urdu', 'Bengali']",SPPU,Entrepreneur,N,"['Thursday', 'Tuesday', 'Monday', 'Friday', 'Sunday', 'Wednesday', 'Saturday']",0,Beginner
heinz-peterjaehn@googlemail.com,Mark Mohaupt B.Sc.,170,61,31,F,Nashik,Gangapur,['Gujarati'],PCCOE,Entrepreneur,Y,"['Thursday', 'Friday', 'Wednesday', 'Monday', 'Saturday', 'Tuesday', 'Sunday']",3,Experienced
moechlichenjoanna@googlemail.com,Frau Theda Niemeier MBA.,188,93,48,None,Kolhapur,Kasaba Bawada,"['Bengali', 'Gujarati', 'Urdu']",PICT,Company Exectuive,N,['Sunday'],0,Intermediate
xsuessebier@rose.de,Hans-Otto Pärtzelt,188,73,30,M,Nagpur,Reshim Bagh,"['Hindi', 'Gujarati']",MIT-WPU,Other,Y,"['Monday', 'Friday', 'Tuesday', 'Sunday', 'Saturday', 'Wednesday']",2,Intermediate
sedatlosekann@hornig.de,Liane Schenk,194,99,52,M,Nagpur,Kamptee,"['Bengali', 'Urdu']",PCCOE,Engineer,Y,"['Sunday', 'Friday', 'Wednesday', 'Monday']",1,Experienced
daria08@gmx.de,Detlef Roht,186,64,29,None,Nashik,Sadar,['Gujarati'],SPPU,Lawyer,Y,"['Tuesday', 'Sunday', 'Friday', 'Wednesday']",0,Experienced
miodrag94@kranz.com,Christiane Trubin B.A.,177,93,29,F,Kolhapur,Kagal,['English'],MIT-WPU,Entrepreneur,Y,"['Monday', 'Sunday', 'Saturday', 'Wednesday']",1,Beginner
anika00@juncken.com,Holm Baum B.Eng.,177,73,31,None,Pune,Pimpri,"['Gujarati', 'Urdu']",PICT,Student,Y,"['Sunday', 'Tuesday']",3,Beginner
mudeerkan@hotmail.de,Adolf Seidel B.Sc.,194,61,37,M,Nashik,Panchavati,"['Urdu', 'Bengali', 'English']",PCCOE,Farmer,N,['Saturday'],0,Beginner
moechlichenkirsten@hermann.com,Hellmut Söding,199,71,27,None,Pune,Shivaji Nagar,"['Urdu', 'Bengali', 'English']",PCCOE,Teacher,N,['Tuesday'],0,Experienced
ygierschner@maelzer.org,Univ.Prof. Sylke Fiebig MBA.,161,103,19,M,Nashik,Sadar,"['English', 'Hindi', 'Bengali']",MIT-ADT,Engineer,Y,"['Saturday', 'Thursday', 'Monday']",5,Beginner
ria33@gmail.com,Helfried Wähner,175,87,30,None,Pune,Pimpri,"['Gujarati', 'Bengali']",MIT-ADT,Entrepreneur,Y,"['Monday', 'Tuesday', 'Friday', 'Wednesday', 'Thursday']",4,Beginner
bluemelthekla@web.de,Christin Oderwald,189,71,33,None,Kolhapur,D Ward,"['Hindi', 'English']",PCCOE,Farmer,N,"['Monday', 'Thursday', 'Saturday']",0,Intermediate
darko44@gierschner.com,Reinald Mielcarek-Ullmann,177,90,16,F,Pune,Pimpri,['Gujarati'],PCCOE,Student,Y,['Monday'],2,Experienced
zullrich@yahoo.de,Bernadette Schenk,168,62,19,F,Nashik,Ambad,['English'],PICT,Company Exectuive,Y,['Sunday'],2,Experienced
carminekrebs@web.de,Univ.Prof. Ralf-Dieter Weinhage,162,96,45,M,Nagpur,Koradi Road,"['Hindi', 'Bengali', 'Marathi']",MIT-ADT,Company Exectuive,N,"['Sunday', 'Saturday', 'Friday', 'Thursday', 'Tuesday', 'Monday', 'Wednesday']",0,Experienced
janhethur@gmx.de,Univ.Prof. Frederic Dowerg B.A.,199,64,34,None,Pune,Pimpri,['Urdu'],PICT,Farmer,N,"['Friday', 'Thursday', 'Tuesday', 'Wednesday', 'Saturday', 'Sunday', 'Monday']",0,Intermediate
esteinberg@gmail.com,Karin Hornig,194,97,18,F,Pune,Pimpri,"['Bengali', 'Hindi']",SPPU,Farmer,N,"['Wednesday', 'Friday', 'Saturday']",0,Beginner
raedeladem@stey.de,Romana Losekann B.Sc.,179,98,29,None,Nashik,Gangapur,"['Bengali', 'Marathi']",MIT-ADT,Other,Y,"['Thursday', 'Tuesday', 'Sunday', 'Monday']",4,Intermediate
johannesbudig@bonbach.net,Doreen Sorgatz B.Sc.,187,62,16,M,Kolhapur,Gadhinglaj,"['Bengali', 'Gujarati', 'English']",PCCOE,Other,Y,"['Monday', 'Saturday', 'Friday', 'Sunday', 'Tuesday', 'Thursday', 'Wednesday']",3,Intermediate
mjopich@hotmail.de,Dr. Liliana Hartmann,184,100,27,F,Pune,Pimpri,"['English', 'Gujarati']",PICT,Doctor,N,"['Thursday', 'Wednesday', 'Monday']",0,Experienced
flantzromuald@hesse.de,Denise Neuschäfer B.Eng.,183,109,33,F,Nagpur,Reshim Bagh,"['Bengali', 'Gujarati']",VIT,Teacher,N,"['Thursday', 'Sunday', 'Wednesday', 'Friday']",0,Beginner
zloos@jopich.com,Dipl.-Ing. Volkmar Söding B.A.,189,106,19,F,Nashik,Gangapur,['English'],VIT,Doctor,Y,"['Thursday', 'Tuesday', 'Sunday', 'Monday']",2,Experienced
poelitzharriet@googlemail.com,Miriam Hamann,198,74,28,None,Kolhapur,Gadhinglaj,"['Gujarati', 'Bengali']",SPPU,Other,Y,"['Monday', 'Saturday', 'Wednesday', 'Tuesday', 'Sunday', 'Thursday']",2,Intermediate
rognerrosmarie@mangold.de,Ferdi Becker,181,70,12,None,Nagpur,Kamptee,['Bengali'],MIT-WPU,Engineer,N,"['Sunday', 'Monday', 'Thursday']",0,Experienced
francescaschweitzer@gmail.com,Jorge Scholtz,196,82,53,F,Pune,Shivaji Nagar,"['Hindi', 'Gujarati']",MIT-ADT,Teacher,Y,"['Wednesday', 'Tuesday', 'Monday', 'Thursday', 'Saturday', 'Sunday']",4,Beginner
rosi67@flantz.com,Maurizio Schmiedt,162,101,40,M,Mumbai,Kandivali,"['Bengali', 'Marathi']",PICT,Engineer,Y,"['Sunday', 'Thursday', 'Tuesday', 'Friday', 'Wednesday']",3,Experienced
malbers@eberhardt.org,Tomasz Franke,166,52,32,F,Nashik,Gangapur,"['English', 'Bengali']",MIT-WPU,Lawyer,N,"['Thursday', 'Wednesday', 'Friday']",0,Intermediate
foderwald@gmx.de,Birger Heinz MBA.,178,51,16,M,Nashik,Ambad,['Hindi'],PICT,Lawyer,N,"['Sunday', 'Monday', 'Saturday', 'Wednesday', 'Friday', 'Thursday', 'Tuesday']",0,Experienced
uklingelhoefer@schmidt.com,Emine Martin,193,67,24,None,Kolhapur,Gadhinglaj,"['Hindi', 'Gujarati']",MIT-ADT,Engineer,Y,"['Tuesday', 'Monday', 'Thursday', 'Saturday', 'Friday', 'Sunday', 'Wednesday']",4,Intermediate
margit47@hotmail.de,Ekrem Gehringer-Stiffel,181,74,27,F,Pune,Shivaji Nagar,['Gujarati'],PCCOE,Company Exectuive,Y,['Wednesday'],1,Intermediate
anna-lena72@atzler.de,Luitgard Freudenberger-Rosemann,179,60,29,M,Mumbai,Kandivali,['Bengali'],MIT-ADT,Teacher,Y,"['Wednesday', 'Sunday', 'Friday', 'Monday', 'Tuesday']",3,Beginner
ischmiedt@gmail.com,Prof. Gretchen Zahn MBA.,194,86,40,F,Nagpur,Koradi Road,"['Gujarati', 'Marathi', 'Bengali']",MIT-WPU,Engineer,Y,"['Monday', 'Friday', 'Thursday', 'Wednesday']",2,Beginner
kunibertehlert@liebelt.de,Milica Oderwald,193,51,19,M,Pune,Kothrud,['English'],VIT,Student,Y,"['Monday', 'Sunday', 'Friday', 'Saturday', 'Thursday', 'Tuesday']",4,Intermediate
ansgargerlach@gmail.com,Tülay Gorlitz,176,69,18,None,Nagpur,Kalameshwar,"['Urdu', 'Marathi']",MIT-ADT,Company Exectuive,Y,"['Sunday', 'Friday', 'Thursday', 'Tuesday']",2,Intermediate
trude95@haering.com,Prof. Amir Hölzenbecher B.A.,177,99,40,F,Nagpur,Kalameshwar,"['Bengali', 'Hindi', 'English']",MIT-ADT,Doctor,N,"['Tuesday', 'Saturday', 'Thursday', 'Friday', 'Wednesday']",0,Intermediate
ostahr@wesack.net,Willfried Hecker,199,108,34,None,Nagpur,Reshim Bagh,"['Hindi', 'Bengali']",PCCOE,Lawyer,Y,"['Friday', 'Thursday', 'Tuesday', 'Sunday']",2,Intermediate
johannmarija@kaul.de,Prof. Anne-Marie Schleich,163,91,35,None,Pune,Aundh,"['Bengali', 'Urdu']",VIT,Businessman,Y,"['Friday', 'Sunday', 'Tuesday', 'Saturday', 'Monday']",1,Beginner
marie-therese92@googlemail.com,Rocco Schmiedecke-Grein Groth,181,90,28,None,Kolhapur,Tarabai Park,['Urdu'],PICT,Student,N,"['Thursday', 'Friday', 'Monday', 'Sunday', 'Tuesday', 'Saturday', 'Wednesday']",0,Beginner
alfonso32@hotmail.de,Jochen Bauer,192,73,29,F,Mumbai,Ghatkopar,['Bengali'],MIT-ADT,Businessman,N,"['Tuesday', 'Wednesday', 'Monday', 'Thursday', 'Sunday']",0,Beginner
german09@gmail.com,Calogero Gumprich B.Eng.,166,73,24,None,Nagpur,Kamptee,"['Urdu', 'English']",MIT-WPU,Other,Y,"['Tuesday', 'Wednesday', 'Thursday', 'Sunday', 'Friday', 'Monday', 'Saturday']",1,Experienced
franciscozimmer@rogner.de,Hans-Hinrich Ernst,191,94,20,F,Pune,Pimpri,"['Bengali', 'Marathi', 'Hindi']",VIT,Entrepreneur,Y,"['Monday', 'Friday']",3,Intermediate
sluebs@googlemail.com,Ingolf Steinberg,166,94,30,None,Mumbai,Ghatkopar,"['Bengali', 'Marathi', 'Urdu']",PCCOE,Farmer,Y,"['Sunday', 'Friday', 'Saturday', 'Thursday']",4,Intermediate
sdoerr@kensy.de,Univ.Prof. Timo Wieloch B.Eng.,194,99,38,F,Nashik,Gangapur,"['Urdu', 'Gujarati', 'Hindi']",VIT,Lawyer,Y,"['Sunday', 'Monday', 'Tuesday', 'Friday', 'Thursday']",1,Experienced
